age;class_worker;education;wage_per_hour;hs_college;marital_stat;major_ind_code;major_occ_code;race;hisp_origin;sex;union_member;unemp_reason;tax_filer_stat;region_prev_res;state_prev_res;det_hh_fam_stat;det_hh_summ;mig_same;num_emp;fam_under_18;country_father;country_mother;country_self;citizenship;own_or_self;weeks_worked;year;sampling_weight
68; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; White; Cuban; Female; Not in universe; Not in universe; Nonfiler; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; ?; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;0;94;90545
44; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;91121
49; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Finance insurance and real estate; Executive admin and managerial; White; Other Spanish; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;24;94;91234
47; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; Other; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;5; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;92758
59; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;94384
61; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;94406
54; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;94995
56; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;36;94;95428
45; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;50;94;96192
67; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; Cuban; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; Cuba; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;0;94;97105
66; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;97277
58; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;34;94;98469
39; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;98905
57; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-spouse absent; Hospital services; Technicians and related support; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Child 18+ ever marr Not in a subfamily; Child 18 or older; Yes;6; Not in universe; Cuba; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;52;94;99057
52; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;2; Not in universe; ?; ?; United-States; Native- Born in the United States;2;52;94;99079
54; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;1;52;94;99137
53; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;99137
64; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; Cuban; Male; Not in universe; Not in universe; Nonfiler; South; Florida; Householder; Householder; No;0; Not in universe; Cuba; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;0;94;99332
58; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; India; India; India; Foreign born- U S citizen by naturalization;0;52;94;99621
36; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;1;52;94;99708
39; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;1;52;94;101176
42; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;1;52;94;101176
40; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; Asian or Pacific Islander; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;5; Not in universe; South Korea; South Korea; South Korea; Foreign born- Not a citizen of U S ;0;52;94;101202
56; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;101436
26; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Business and repair services; Precision production craft & repair; Black; All other; Male; Not in universe; Other job loser; Single; Northeast; South Carolina; Other Rel 18+ never marr not in subfamily; Other relative of householder; No;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;3;94;101585
53; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; ?; ?; England; Native- Born abroad of American Parent(s);2;52;94;101976
61; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Executive admin and managerial; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; Taiwan; Taiwan; Taiwan; Foreign born- Not a citizen of U S ;0;52;94;102079
47; Federal government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Public administration; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;102188
31; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Medical except hospital; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;102293
82; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; Iran; Iran; Iran; Foreign born- Not a citizen of U S ;0;0;94;102443
40; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Female; Not in universe; Other job loser; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;36;94;102481
47; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;102481
64; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;102778
42; State government; Doctorate degree(PhD EdD);0; Not in universe; Never married; Education; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;2; Not in universe; United-States; United-States; Italy; Native- Born abroad of American Parent(s);2;52;94;103079
64; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; Cuban; Female; Not in universe; Not in universe; Nonfiler; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;0; Not in universe; Cuba; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;0;94;104163
84; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;104869
51; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Retail trade; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;105444
33; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; Cuban; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; Cuba; Cuba; Cuba; Foreign born- U S citizen by naturalization;0;52;94;105765
72; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Widowed; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; ?; ?; United-States; Native- Born in the United States;0;0;94;106043
45; Private; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Communications; Sales; White; Mexican-American; Male; No; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;106231
29; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Hospital services; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Secondary individual; Nonrelative of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;106542
53; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;39;94;106741
44; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;107337
38; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;107337
37; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Northeast; New Mexico; Householder; Householder; No;6; Not in universe; Taiwan; Taiwan; Taiwan; Foreign born- Not a citizen of U S ;0;52;94;107668
52; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;1;52;94;107796
41; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;108249
44; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-spouse absent; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Nonfiler; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;0;94;108605
60; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;108778
54; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;110021
38; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Technicians and related support; Asian or Pacific Islander; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; India; India; India; Foreign born- Not a citizen of U S ;0;52;94;110389
40; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Technicians and related support; Asian or Pacific Islander; All other; Male; Not in universe; Re-entrant; Joint both under 65; Not in universe; Not in universe; Spouse of RP of unrelated subfamily; Nonrelative of householder; Yes;6; Not in universe; China; China; China; Foreign born- Not a citizen of U S ;0;52;94;110931
44; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;111054
27; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Northeast; Michigan; Spouse of householder; Spouse of householder; No;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;37;94;111383
33; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;111383
33; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Midwest; Kentucky; Householder; Householder; No;2; Not in universe; China; China; Hong Kong; Foreign born- Not a citizen of U S ;0;52;94;112259
73; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; ?; ?; ?; Foreign born- U S citizen by naturalization;0;0;94;112338
71; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; Other Spanish; Female; No; Not in universe; Joint both 65+; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; ?; Cuba; Cuba; Foreign born- U S citizen by naturalization;2;36;94;112552
38; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;112981
30; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Technicians and related support; White; All other; Female; Not in universe; Not in universe; Joint both under 65; South; North Dakota; Spouse of householder; Spouse of householder; No;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;24;94;113018
49; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;50;94;113762
60; Local government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;4;94;113903
68; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; West; Vermont; Householder; Householder; No;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;16;94;114009
52; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Executive admin and managerial; White; All other; Male; No; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;115113
64; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;115248
49; Local government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Public administration; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Other Rel 18+ spouse of subfamily RP; Other relative of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;115598
46; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;50;94;115652
34; Local government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Public administration; Professional specialty; White; Mexican-American; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; Mexico; United-States; Native- Born in the United States;1;52;94;115885
79; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;3; Not in universe; Germany; ?; El-Salvador; Foreign born- U S citizen by naturalization;0;52;94;116063
47; Private; Doctorate degree(PhD EdD);1700; Not in universe; Divorced; Medical except hospital; Professional specialty; White; All other; Female; No; Not in universe; Head of household; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;49;94;116393
55; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Executive admin and managerial; White; Other Spanish; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;116485
55; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;117375
47; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;118268
62; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;118681
65; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; United-States; ?; United-States; Native- Born in the United States;0;52;94;119136
61; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; Scotland; United-States; United-States; Native- Born in the United States;0;0;94;119541
42; State government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Female; No; Not in universe; Single; West; New York; Nonfamily householder; Householder; No;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;37;94;119815
32; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; Cuban; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; Peru; Greece; United-States; Native- Born in the United States;0;26;94;120467
41; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;121377
37; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; South; Massachusetts; Householder; Householder; No;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;36;94;121385
34; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;121882
34; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; White; All other; Female; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; Italy; Italy; United-States; Native- Born in the United States;0;48;94;121882
29; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; Do not know; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;121918
28; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; Do not know; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;121918
47; Local government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;122013
49; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Utilities and sanitary services; Professional specialty; Other; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;123055
52; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; Hungary; United-States; United-States; Native- Born in the United States;1;52;94;123283
52; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; ?; United-States; Native- Born in the United States;1;52;94;123283
28; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Northeast; ?; Spouse of householder; Spouse of householder; No;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;46;94;123499
28; Private; Doctorate degree(PhD EdD);700; Not in universe; Never married; Other professional services; Adm support including clerical; White; All other; Male; No; Not in universe; Single; Not in universe; Not in universe; Child 18+ never marr Not in a subfamily; Child 18 or older; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;48;94;123626
66; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; Italy; Italy; United-States; Native- Born in the United States;0;0;94;124197
48; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Retail trade; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Joint both under 65; South; Missouri; Spouse of householder; Spouse of householder; No;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;125139
